timing_step_id,method,method_key,lambda,gate_fraction,tns,wns,exported_pair_count,total_exported_weight_mass
3,DCF v5.2 gated hybrid,dcf_v5_2_g025_l008,0.08,0.25,-103.19093,-18.70712109375,173100,1757869.714512825
4,DCF v5.2 gated hybrid,dcf_v5_2_g025_l008,0.08,0.25,-48.376235,-18.114828125,187946,1909426.1426773071
5,DCF v5.2 gated hybrid,dcf_v5_2_g025_l008,0.08,0.25,-42.9873,-20.44653515625,201908,2051601.3769874573
6,DCF v5.2 gated hybrid,dcf_v5_2_g025_l008,0.08,0.25,-34.8082325,-17.423677734375,215281,2187941.2109794617
7,DCF v5.2 gated hybrid,dcf_v5_2_g025_l008,0.08,0.25,-35.743115,-17.321244140625,225155,2289567.374633789
8,DCF v5.2 gated hybrid,dcf_v5_2_g025_l008,0.08,0.25,-32.5416875,-16.943509765625,234174,2382794.172876358
9,DCF v5.2 gated hybrid,dcf_v5_2_g025_l008,0.08,0.25,-31.280185,-15.9959765625,241670,2461063.9391698837
10,DCF v5.2 gated hybrid,dcf_v5_2_g025_l008,0.08,0.25,-28.431705,-11.505927734375,247995,2528775.9262723923
11,DCF v5.2 gated hybrid,dcf_v5_2_g025_l008,0.08,0.25,-26.60915,-8.543556640625,252994,2584427.39413929
12,DCF v5.2 gated hybrid,dcf_v5_2_g025_l008,0.08,0.25,-21.799475,-5.40459033203125,255911,2621102.305053711
13,DCF v5.2 gated hybrid,dcf_v5_2_g025_l008,0.08,0.25,-18.80297,-5.18383154296875,257862,2648250.232530594
14,DCF v5.2 gated hybrid,dcf_v5_2_g025_l008,0.08,0.25,-17.06842625,-4.33896337890625,259458,2673038.9323072433
15,DCF v5.2 gated hybrid,dcf_v5_2_g025_l008,0.08,0.25,-19.39425125,-4.844720703125,260671,2692403.808819771
16,DCF v5.2 gated hybrid,dcf_v5_2_g025_l008,0.08,0.25,-15.97637875,-4.55998388671875,261682,2708735.785671234
17,DCF v5.2 gated hybrid,dcf_v5_2_g025_l008,0.08,0.25,-15.9998775,-4.4145810546875,262476,2722993.3079862595
18,DCF v5.2 gated hybrid,dcf_v5_2_g025_l008,0.08,0.25,-15.15620375,-4.38378271484375,263033,2734194.299685478
19,DCF v5.2 gated hybrid,dcf_v5_2_g025_l008,0.08,0.25,-14.34257125,-4.259267578125,263557,2745027.8417081833
1,DCF v5.2 gated hybrid,dcf_v5_2_g025_l010,0.10,0.25,-208.66612,-13.3625078125,101818,1034699.2782058716
