case,method,method_key,variant,beta,timing_step_id,gp_iter,tns,wns,exported_pair_count,total_exported_weight_mass,tns_delta_vs_v3b,wns_delta_vs_v3b,exported_pair_count_delta_vs_v3b,total_exported_weight_mass_delta_vs_v3b
superblue16,DCF v3c,dcf_v3c_b015,v3c,0.15,9,630,-83.34209,-15.56053515625,162562,292587.2959234468,0.3887550000000033,-0.03141601562500007,-84,-1035.1322022747481
superblue16,DCF v3c,dcf_v3c_b015,v3c,0.15,10,645,-77.46283,-16.70339453125,154044,270859.03141072707,0.020510000000001583,1.6395937499999995,-1271,-1251.9297917024815
superblue16,DCF v3c,dcf_v3c_b015,v3c,0.15,11,660,-101.16953,-17.97544140625,175086,320445.80422639346,6.673060000000007,1.0313750000000006,-7868,-14946.99966289004
superblue16,DCF v3c,dcf_v3c_b015,v3c,0.15,12,675,-65.73623,-30.03933984375,135239,245223.9576654753,-1.3388400000000047,-12.036896484375,4926,6870.143784764659
superblue16,DCF v3c,dcf_v3c_b015,v3c,0.15,13,690,-136.6618,-16.56181640625,168113,323662.37492808,8.654439999999994,0.93701171875,-16564,-31632.86060720269
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,1,510,-306.15338,-14.725646484375,344735,773561.6995160301,0.0,0.0,0,0.0
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,2,525,-211.56454,-15.660390625,374151,827181.7778101828,-0.0011599999999987176,2.7343750000241585e-05,0,1.1801471253857017
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,3,540,-56.376655,-7.38786328125,152596,344849.2966903208,-0.0005749999999977717,0.0,-5,-0.10886649211170152
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,4,555,-52.17574,-7.54899755859375,162892,338626.5623793861,-0.000920000000000698,3.2226562500348166e-05,46,111.44306797924219
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,5,570,-51.359605,-17.37486328125,170756,328773.482965209,0.010815000000000907,0.0013359374999986073,-28,-201.0554684830713
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,6,585,-49.76481,-15.13095703125,157972,299988.9876390204,-0.04297499999999843,-0.001144531250000469,86,85.79158902267227
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,7,600,-67.49649,-9.482154296875,147789,281693.3613911177,-1.6332049999999896,-0.39694726562500016,-254,-377.75270120293135
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,8,615,-45.173305,-10.06781640625,156387,276789.83614838903,-0.776139999999998,-0.001707031249999602,415,398.9036283743335
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,9,630,-83.392515,-15.493302734375,163019,292965.4024226564,0.33832999999999913,0.03581640624999949,373,-657.0257030651555
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,10,645,-74.454445,-16.741626953125,154538,270563.71811539854,3.0288949999999915,1.6013613281250016,-777,-1547.2430870310054
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,11,660,-98.56613,-17.68205859375,175793,320337.49516367546,9.27646,1.3247578124999997,-7161,-15055.308725608047
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,12,675,-61.47016,-30.430623046875,135547,245401.79808453235,2.9272300000000016,-12.428179687499998,5234,7047.9842038217175
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,13,690,-127.91499,-16.993703125,172665,328147.9728618023,17.40124999999999,0.5051249999999996,-12012,-27147.262673480378
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,1,510,-306.15338,-14.725646484375,344735,773561.6995160301,0.0,0.0,0,0.0
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,2,525,-211.56334,-15.66043359375,374159,827180.7003423787,3.9999999984274837e-05,-1.5624999999630518e-05,8,0.1026793213095516
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,3,540,-56.37597,-7.3878583984375,152596,344841.92034286767,0.00010999999999938836,4.882812499218403e-06,-5,-7.485213945270516
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,4,555,-52.174355,-7.5489921875,162849,338524.02342269826,0.0004649999999983834,3.759765625055422e-05,3,8.904111291398294
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,5,570,-51.37152,-17.37568359375,170791,329031.8775510296,-0.0010999999999938836,0.0005156249999984652,7,57.33911733754212
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,6,585,-49.87275,-15.129935546875,158031,300173.6667515002,-0.1509150000000048,-0.00012304687500019895,145,270.47070150251966
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,7,600,-67.56298,-9.4743115234375,147972,282136.9304067587,-1.6996949999999913,-0.3891044921874993,-71,65.81631443806691
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,8,615,-44.361595,-10.060828125,156828,277993.0061064625,0.03556999999999988,0.00528124999999946,856,1602.0735864478047
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,9,630,-88.55017,-15.575658203125,162878,294075.94935026614,-4.819324999999992,-0.04653906250000084,232,453.5212245445582
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,10,645,-73.36558,-16.468865234375,155629,270778.9020720536,4.117760000000004,1.8741230468750025,314,-1332.059130375972
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,11,660,-110.5331,-18.4519921875,176779,328005.31464276026,-2.6905100000000033,0.5548242187499994,-6175,-7387.489246523241
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,12,675,-59.05221,-30.18838671875,135773,243486.86145451522,5.345179999999999,-12.185943359374999,5460,5133.047573804593
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,13,690,-134.40086,-16.880048828125,170966,328712.56394553854,10.915379999999999,0.618779296875001,-13711,-26582.67158974416
