case,method,method_key,variant,beta,timing_step_id,gp_iter,tns,wns,exported_pair_count,total_exported_weight_mass
superblue16,DCF v3c,dcf_v3c_b015,v3c,0.15,4,555,-52.175185,-7.548923828125,162851,338525.6610928306
superblue16,DCF v3c,dcf_v3c_b015,v3c,0.15,5,570,-51.37056,-17.375939453125,170792,328994.37618877814
superblue16,DCF v3c,dcf_v3c_b015,v3c,0.15,6,585,-49.729425,-15.128158203125,157943,300006.4546344538
superblue16,DCF v3c,dcf_v3c_b015,v3c,0.15,7,600,-67.26215,-9.470294921875,147876,281960.26174720004
superblue16,DCF v3c,dcf_v3c_b015,v3c,0.15,8,615,-45.12512,-10.075451171875,156752,277594.1533757307
superblue16,DCF v3c,dcf_v3c_b015,v3c,0.15,9,630,-83.34209,-15.56053515625,162562,292587.2959234468
superblue16,DCF v3c,dcf_v3c_b015,v3c,0.15,10,645,-77.46283,-16.70339453125,154044,270859.03141072707
superblue16,DCF v3c,dcf_v3c_b015,v3c,0.15,11,660,-101.16953,-17.97544140625,175086,320445.80422639346
superblue16,DCF v3c,dcf_v3c_b015,v3c,0.15,12,675,-65.73623,-30.03933984375,135239,245223.9576654753
superblue16,DCF v3c,dcf_v3c_b015,v3c,0.15,13,690,-136.6618,-16.56181640625,168113,323662.37492808
superblue16,DCF v3c,dcf_v3c_b015,v3c,0.15,14,705,-86.44222,-31.558556640625,151750,273842.4319936288
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,1,510,-306.15338,-14.725646484375,344735,773561.6995160301
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,2,525,-211.56454,-15.660390625,374151,827181.7778101828
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,3,540,-56.376655,-7.38786328125,152596,344849.2966903208
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,4,555,-52.17574,-7.54899755859375,162892,338626.5623793861
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,5,570,-51.359605,-17.37486328125,170756,328773.482965209
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,6,585,-49.76481,-15.13095703125,157972,299988.9876390204
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,7,600,-67.49649,-9.482154296875,147789,281693.3613911177
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,8,615,-45.173305,-10.06781640625,156387,276789.83614838903
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,9,630,-83.392515,-15.493302734375,163019,292965.4024226564
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,10,645,-74.454445,-16.741626953125,154538,270563.71811539854
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,11,660,-98.56613,-17.68205859375,175793,320337.49516367546
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,12,675,-61.47016,-30.430623046875,135547,245401.79808453235
superblue16,DCF v3c,dcf_v3c_b020,v3c,0.20,13,690,-127.91499,-16.993703125,172665,328147.9728618023
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,1,510,-306.15338,-14.725646484375,344735,773561.6995160301
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,2,525,-211.56334,-15.66043359375,374159,827180.7003423787
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,3,540,-56.37597,-7.3878583984375,152596,344841.92034286767
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,4,555,-52.174355,-7.5489921875,162849,338524.02342269826
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,5,570,-51.37152,-17.37568359375,170791,329031.8775510296
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,6,585,-49.87275,-15.129935546875,158031,300173.6667515002
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,7,600,-67.56298,-9.4743115234375,147972,282136.9304067587
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,8,615,-44.361595,-10.060828125,156828,277993.0061064625
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,9,630,-88.55017,-15.575658203125,162878,294075.94935026614
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,10,645,-73.36558,-16.468865234375,155629,270778.9020720536
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,11,660,-110.5331,-18.4519921875,176779,328005.31464276026
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,12,675,-59.05221,-30.18838671875,135773,243486.86145451522
superblue16,DCF v3c,dcf_v3c_b025,v3c,0.25,13,690,-134.40086,-16.880048828125,170966,328712.56394553854
