case_name,gate_fraction,first_timing_step_id,base_pin2pin_pair_count,gated_pair_count,gated_pair_fraction_actual,mapped_mhat_pair_count,final_hybrid_pair_count,exported_tensor_pair_count,final_hybrid_total_weight_mass,exported_tensor_total_weight_mass,top_pair_weight_after_export
superblue16,0.10,1,101818,10182,0.10000196099281311,84056,101818,101818,1034690.6395158768,1034690.5625,33.0
superblue16,0.25,1,101818,25455,0.25000491738319397,84056,101818,101818,1034699.3413677216,1034699.3125,33.0
superblue16,0.50,1,101818,50909,0.5,84056,101818,101818,1034705.202589035,1034705.25,33.0
superblue3,0.10,1,44353,4436,0.1000157818198204,21086,44353,44353,455126.43225479126,455126.46875,35.59660339355469
superblue3,0.25,1,44353,11089,0.2500168979167938,21086,44353,44353,455137.4685678482,455137.46875,35.56388854980469
superblue3,0.50,1,44353,22177,0.5000112652778625,21086,44353,44353,455153.29183483124,455153.28125,35.59660339355469
superblue18,0.10,1,25805,2581,0.10001937299966812,20277,25805,25805,268901.9959087372,268902.0,55.0
superblue18,0.25,1,25805,6452,0.250029057264328,20277,25805,25805,268916.10589694977,268916.09375,55.0
superblue18,0.50,1,25805,12903,0.500019371509552,20277,25805,25805,268922.7568912506,268922.75,55.0
