timing_step_id,method,method_key,gate_fraction,tns,wns,exported_pair_count,total_exported_weight_mass
8,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025,0.25,-32.3447675,-16.93728515625,233922,2380305.7355680466
9,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025,0.25,-30.65682,-16.003556640625,241501,2459311.1945228577
10,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025,0.25,-28.55636,-11.5841875,247577,2524468.730911255
11,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025,0.25,-26.64923,-8.4889765625,252885,2583233.6007966995
12,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025,0.25,-22.944345,-5.39043017578125,256628,2628286.5692005157
13,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025,0.25,-18.0097175,-5.2275693359375,258975,2659104.2547693253
14,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025,0.25,-16.92165875,-4.3291005859375,260760,2685469.2946777344
15,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025,0.25,-19.0510075,-4.90288720703125,261863,2703298.917227745
16,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025,0.25,-16.50519125,-4.55633740234375,262812,2719107.363170624
17,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025,0.25,-15.77623875,-4.396337890625,263494,2732057.8840637207
18,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025,0.25,-15.62570125,-4.3066650390625,263997,2742900.84543705
19,DCF v5.1 gated hybrid,dcf_v5_1_gated_g025,0.25,-14.9143975,-4.3556806640625,264454,2752991.0668535233
1,DCF v5.1 gated hybrid,dcf_v5_1_gated_g050,0.50,-208.66612,-13.3625078125,101818,1034705.202589035
2,DCF v5.1 gated hybrid,dcf_v5_1_gated_g050,0.50,-210.01606,-35.7758359375,153480,1556133.147014618
3,DCF v5.1 gated hybrid,dcf_v5_1_gated_g050,0.50,-103.21096,-18.7209609375,173166,1758578.427274704
4,DCF v5.1 gated hybrid,dcf_v5_1_gated_g050,0.50,-48.931395,-18.126619140625,188060,1910656.4355707169
5,DCF v5.1 gated hybrid,dcf_v5_1_gated_g050,0.50,-42.66401,-20.471052734375,202057,2053172.5796394348
6,DCF v5.1 gated hybrid,dcf_v5_1_gated_g050,0.50,-35.0809375,-17.445857421875,215332,2188556.201648712
7,DCF v5.1 gated hybrid,dcf_v5_1_gated_g050,0.50,-35.4094825,-17.356451171875,225038,2288512.4626083374
8,DCF v5.1 gated hybrid,dcf_v5_1_gated_g050,0.50,-31.9219,-16.847234375,233813,2379268.9817848206
9,DCF v5.1 gated hybrid,dcf_v5_1_gated_g050,0.50,-30.294515,-16.010421875,241180,2456121.037299156
10,DCF v5.1 gated hybrid,dcf_v5_1_gated_g050,0.50,-27.839165,-11.51403515625,247479,2523485.0763835907
11,DCF v5.1 gated hybrid,dcf_v5_1_gated_g050,0.50,-26.7238575,-8.7631845703125,252829,2582493.141845703
12,DCF v5.1 gated hybrid,dcf_v5_1_gated_g050,0.50,-21.8588975,-5.37889453125,256495,2626747.480031967
13,DCF v5.1 gated hybrid,dcf_v5_1_gated_g050,0.50,-18.23683,-5.215955078125,258599,2655278.021654129
14,DCF v5.1 gated hybrid,dcf_v5_1_gated_g050,0.50,-16.49103875,-4.29441748046875,260259,2680495.711871147
15,DCF v5.1 gated hybrid,dcf_v5_1_gated_g050,0.50,-18.46225375,-4.6909072265625,261433,2699542.3879671097
16,DCF v5.1 gated hybrid,dcf_v5_1_gated_g050,0.50,-16.32026875,-4.74455908203125,262316,2714502.258755684
17,DCF v5.1 gated hybrid,dcf_v5_1_gated_g050,0.50,-15.5273575,-4.43608984375,263083,2728198.310464859
18,DCF v5.1 gated hybrid,dcf_v5_1_gated_g050,0.50,-15.0554975,-4.377125,263734,2740424.90947628
19,DCF v5.1 gated hybrid,dcf_v5_1_gated_g050,0.50,-14.90790125,-4.4151875,264315,2751715.733622551
