variant,topk,pin2pin_overlap_count,pin2pin_jaccard,original_dcf_jaccard,topk_mean_length,topk_median_length,topk_q90_length,topk_q99_length,topk_max_length,topk_score_fraction
original_dcf,100,27,0.15606936416184972,1.0,4148.235330810547,1730.3271484375,10955.341406250025,26627.681210937502,27288.541015625,0.0009299297561184744
original_dcf,1000,221,0.12422709387296234,1.0,7073.931236877442,3353.95947265625,19584.038085937504,25252.8279296875,27578.5625,0.00860103749325404
original_dcf,5000,717,0.07723796186577615,1.0,4715.898514401245,3384.6806640625,9677.499414062502,23512.201542968764,27578.5625,0.041074085847792305
no_eta,100,31,0.1834319526627219,0.17647058823529413,2622.780200805664,1401.25830078125,5192.142773437503,23732.17296875,24099.6640625,0.0009416451543376332
no_eta,1000,283,0.1648223645894001,0.08108108108108109,1054.5001133117676,196.1197509765625,2517.3967773437503,19818.34222656249,27578.5625,0.008671336252589652
no_eta,5000,2651,0.3607293509320996,0.055186240371425554,1193.5713292861938,132.252685546875,2795.4919433593773,22930.530000000017,29853.2265625,0.040334339081775396
M_only,100,32,0.19047619047619047,0.1834319526627219,2201.2335809326173,1375.2769775390625,3536.353417968759,23732.17296875,24099.6640625,0.0012651590208845693
M_only,1000,283,0.1648223645894001,0.08108108108108109,1054.5001133117676,196.1197509765625,2517.3967773437503,19818.34222656249,27578.5625,0.011077048867160749
M_only,5000,2657,0.36184120931499386,0.054073995994518814,1080.1879168289186,128.6300048828125,2688.7463623046892,19224.42623046882,27578.5625,0.0489377668627698
S_only,100,31,0.1834319526627219,0.17647058823529413,2622.780200805664,1401.25830078125,5192.142773437503,23732.17296875,24099.6640625,0.0009416451543376332
S_only,1000,283,0.1648223645894001,0.08108108108108109,1054.5001133117676,196.1197509765625,2517.3967773437503,19818.34222656249,27578.5625,0.008671336252589652
S_only,5000,2651,0.3607293509320996,0.055186240371425554,1193.5713292861938,132.252685546875,2795.4919433593773,22930.530000000017,29853.2265625,0.040334339081775396
