variant,topk,pin2pin_overlap_count,pin2pin_jaccard,original_dcf_jaccard,topk_mean_length,topk_median_length,topk_q90_length,topk_q99_length,topk_max_length,topk_score_fraction
original_dcf,100,32,0.19047619047619047,1.0,7569.656420898437,6847.562255859375,16467.674804687504,22262.194453125,22542.8671875,0.0015832756260825771
original_dcf,1000,292,0.17096018735362997,1.0,8013.730854370117,7279.533447265625,15672.998730468751,21441.49953125,23178.26171875,0.014577458444291102
original_dcf,5000,1288,0.14784205693296604,1.0,7180.700954495239,6869.461669921875,14208.695507812501,18603.951875000002,23178.26171875,0.0688698366659061
no_eta,100,86,0.7543859649122807,0.20481927710843373,1518.0976593017579,263.05487060546875,5331.202294921877,12225.623037109406,18291.015625,0.0016268281896668938
no_eta,1000,971,0.9436345966958212,0.1834319526627219,1054.7521345062255,172.453857421875,3743.0755859375004,13475.215136718743,21441.42578125,0.01513069347823477
no_eta,5000,4821,0.9308746862328635,0.15526802218114602,853.4886488571167,133.275634765625,2315.4133056640626,13026.654726562503,22542.8671875,0.070244785499827
M_only,100,86,0.7543859649122807,0.20481927710843373,1518.0976593017579,263.05487060546875,5331.202294921877,12225.623037109406,18291.015625,0.0022423391441461398
M_only,1000,971,0.9436345966958212,0.1834319526627219,1054.7521345062255,172.453857421875,3743.0755859375004,13475.215136718743,21441.42578125,0.019883281412640893
M_only,5000,4821,0.9308746862328635,0.15526802218114602,853.4886488571167,133.275634765625,2315.4133056640626,13026.654726562503,22542.8671875,0.08733948267311911
S_only,100,86,0.7543859649122807,0.20481927710843373,1518.0976593017579,263.05487060546875,5331.202294921877,12225.623037109406,18291.015625,0.0016268281896668938
S_only,1000,971,0.9436345966958212,0.1834319526627219,1054.7521345062255,172.453857421875,3743.0755859375004,13475.215136718743,21441.42578125,0.01513069347823477
S_only,5000,4821,0.9308746862328635,0.15526802218114602,853.4886488571167,133.275634765625,2315.4133056640626,13026.654726562503,22542.8671875,0.070244785499827
